year,week,published_date,sale_date,vessel_name,vessel_type,build_date,seller,source
2026,4,,24-01-2026,Abinsk,HANDY BULKER,Mar 1983,Strategic Grain Management,ShipAndBunker_VesselsValue
2026,4,,23-01-2026,Seapeak Mars,LARGE LNG,Dec 2004,Seapeak,ShipAndBunker_VesselsValue
2026,3,,19-01-2026,Sheng Le C,HANDY BULKER,Jan 1996,Guangzhou Seaway International,ShipAndBunker_VesselsValue
2026,3,,16-01-2026,Blue Bead,HANDY BULKER,Sep 1998,Blue Bead Shipping,ShipAndBunker_VesselsValue
2026,3,,16-01-2026,Chung,SMALL HANDY,Nov 1984,Undisclosed,ShipAndBunker_VesselsValue
2026,3,,16-01-2026,An Shun,PANAMAX BULKER,Jan 1998,Mentor Pacific Ltd,ShipAndBunker_VesselsValue
2026,2,,12-01-2026,Rong Zhou,REEFER,Apr 1984,Zhoushan Haili Ocean,ShipAndBunker_VesselsValue
2026,2,,12-01-2026,Dimple,SMALL HANDY,Apr 1992,Dimple Shipping,ShipAndBunker_VesselsValue
2026,2,,10-01-2026,Inga A,FEEDERMAX,Dec 1993,Arkas Line,ShipAndBunker_VesselsValue
2026,2,,09-01-2026,Saltlake,REEFER,Mar 1986,JiSung Shipping,ShipAndBunker_VesselsValue
2026,2,,09-01-2026,Baroasaa 102,REEFER,Oct 1982,Maldives Industrial Fisheries,ShipAndBunker_VesselsValue
2026,2,,09-01-2026,Sirrah,HANDYMAX,Jun 1999,Al Shumookh Construction,ShipAndBunker_VesselsValue
2026,1,,06-01-2026,Odin,REEFER,Jun 1984,Primportservice,ShipAndBunker_VesselsValue
2026,1,,05-01-2026,Atlantic Huron,HANDY BULKER,Apr 1984,CSL Group,ShipAndBunker_VesselsValue
2025,53,,29-12-2025,Fuji,SMALL TANKER,Nov 1983,ESM Maritime,ShipAndBunker_VesselsValue
2025,53,,29-12-2025,Hakata,SMALL TANKER,Jun 1969,Shipmate,ShipAndBunker_VesselsValue
2025,53,,27-12-2025,Maple,SMALL TANKER,Apr 1979,Shipmate,ShipAndBunker_VesselsValue
2025,52,,20-12-2025,Rui Tiger,PANAMAX BULKER,Jan 1995,Xiamen Xinjunhai Marine Management,ShipAndBunker_VesselsValue
2025,52,,20-12-2025,Chang Ming Yang,POST PANAMAX BULKER,Mar 1993,Tianjin Chang Ming Shipping,ShipAndBunker_VesselsValue
2025,52,,20-12-2025,Gold Origin,GEN CARGO,Jul 2005,Shandong Derong Shipping,ShipAndBunker_VesselsValue
2025,50,,08-12-2025,Guan Lan Hu,PANAMAX BULKER,May 2001,Tai Zhou Shi An Li International Shipping,ShipAndBunker_VesselsValue
2025,50,,05-12-2025,Morality,HANDY TANKER,Apr 2003,Navitas Continental Merchants,ShipAndBunker_VesselsValue
2025,50,,05-12-2025,Ardhianto,MPP,Sep 1994,Falcon Shipping Line,ShipAndBunker_VesselsValue
2025,50,,05-12-2025,Vigo,AFRAMAX,Jul 2000,Opec Petrol Transportation,ShipAndBunker_VesselsValue
2025,49,,01-12-2025,Seapeak Madrid,LARGE LNG,Dec 2004,Seapeak,ShipAndBunker_VesselsValue
2025,49,,01-12-2025,Seapeak Hispania,LARGE LNG,Sep 2002,Seapeak,ShipAndBunker_VesselsValue
2025,49,,01-12-2025,Seapeak Asia,LARGE LNG,Aug 2003,Seapeak,ShipAndBunker_VesselsValue
2025,49,,28-11-2025,Zi Yu Lan,PASSENGER FERRY,Aug 1995,Lianyungang CK Ferry,ShipAndBunker_VesselsValue
2025,49,,28-11-2025,Bold Mariner,HANDYMAX,Jun 1996,Graham Shipping Co,ShipAndBunker_VesselsValue
2025,48,,24-11-2025,DSM Norwich,HANDY BULKER,Mar 2004,Stemship Management,ShipAndBunker_VesselsValue
2025,48,,24-11-2025,Chang Zhi,HANDY BULKER,Nov 1995,Bank of Communications Financial Leasing,ShipAndBunker_VesselsValue
2025,48,,24-11-2025,Kohzan Maru,HANDY TANKER,Dec 2000,MOL,ShipAndBunker_VesselsValue
2025,48,,23-11-2025,Victoria 3,HANDY BULKER,Feb 1996,China Government,ShipAndBunker_VesselsValue
2025,48,,21-11-2025,Ark Prestige,SMALL TANKER,Jan 1996,Integrity Ships,ShipAndBunker_VesselsValue
2025,47,,17-11-2025,Ancon Trader,SMALL TANKER,Mar 1979,Bunker Vessel Management,ShipAndBunker_VesselsValue
2025,47,,15-11-2025,Star Advance,HANDY TANKER,Oct 1998,Saint Sail Shipping,ShipAndBunker_VesselsValue
2025,47,,14-11-2025,Santa Ana,HANDY TANKER,May 2000,First Ship Management LLP,ShipAndBunker_VesselsValue
2025,46,,11-11-2025,Tara,MPP,Oct 1994,Alphamoon Shipping Management,ShipAndBunker_VesselsValue
2025,46,,11-11-2025,Fu Ocean,CAPESIZE,Feb 2001,Libra Seaways,ShipAndBunker_VesselsValue
2025,46,,10-11-2025,Ju Da,PANAMAX BULKER,Jul 2005,COSCO Shipping Bulk,ShipAndBunker_VesselsValue
