date,value
27-11-2012,921.93
28-11-2012,892.1
29-11-2012,887.36
02-12-2012,849.87
03-12-2012,831.2
04-12-2012,785.07
05-12-2012,787.16
06-12-2012,776.57
09-12-2012,759.78
10-12-2012,734.05
11-12-2012,704.02
12-12-2012,704.2
13-12-2012,713.31
16-12-2012,709.74
17-12-2012,692.66
18-12-2012,675.6
19-12-2012,672.81
20-12-2012,682.65
23-12-2012,661.41
01-01-2013,706.9
02-01-2013,740.65
03-01-2013,762.01
06-01-2013,810.06
07-01-2013,789.04
08-01-2013,765.64
09-01-2013,787.1
10-01-2013,793.23
13-01-2013,774.45
14-01-2013,804.08
15-01-2013,826.4
16-01-2013,818.63
17-01-2013,804.82
20-01-2013,812.98
21-01-2013,798.54
22-01-2013,807.75
23-01-2013,804.85
24-01-2013,804.14
27-01-2013,801.76
28-01-2013,792.9
29-01-2013,780.68
30-01-2013,794.2
31-01-2013,799.39
03-02-2013,807.02
04-02-2013,818.0
05-02-2013,831.08
06-02-2013,841.64
07-02-2013,847.09
10-02-2013,850.14
11-02-2013,842.12
12-02-2013,862.58
13-02-2013,872.69
14-02-2013,880.21
17-02-2013,882.51
18-02-2013,850.17
19-02-2013,846.09
20-02-2013,854.27
21-02-2013,865.05
24-02-2013,854.91
25-02-2013,845.92
26-02-2013,867.34
27-02-2013,892.08
28-02-2013,897.78
03-03-2013,919.88
04-03-2013,906.8
05-03-2013,904.1
06-03-2013,892.39
07-03-2013,892.76
10-03-2013,883.59
11-03-2013,910.22
12-03-2013,918.57
13-03-2013,904.02
14-03-2013,915.15
17-03-2013,924.4
18-03-2013,908.79
19-03-2013,908.99
20-03-2013,909.71
21-03-2013,908.04
24-03-2013,894.45
25-03-2013,879.29
26-03-2013,863.81
27-03-2013,865.68
01-04-2013,833.15
02-04-2013,803.17
03-04-2013,817.0
04-04-2013,837.78
07-04-2013,851.99
08-04-2013,847.04
09-04-2013,845.17
10-04-2013,831.27
11-04-2013,827.09
14-04-2013,821.41
15-04-2013,809.69
16-04-2013,820.03
17-04-2013,798.38
18-04-2013,804.3
21-04-2013,806.93
22-04-2013,766.84
23-04-2013,759.78
24-04-2013,772.71
25-04-2013,780.14
28-04-2013,781.58
29-04-2013,773.86
30-04-2013,777.27
01-05-2013,799.64
02-05-2013,807.41
06-05-2013,808.63
07-05-2013,796.12
08-05-2013,780.62
09-05-2013,771.26
12-05-2013,762.17
13-05-2013,741.44
14-05-2013,726.45
15-05-2013,720.04
16-05-2013,721.74
19-05-2013,732.32
20-05-2013,738.23
21-05-2013,735.4
22-05-2013,724.3
23-05-2013,723.7
27-05-2013,709.16
28-05-2013,714.1
29-05-2013,706.39
30-05-2013,717.89
02-06-2013,707.02
03-06-2013,715.59
04-06-2013,704.97
05-06-2013,722.08
06-06-2013,740.41
09-06-2013,744.19
10-06-2013,770.86
11-06-2013,797.69
12-06-2013,804.91
13-06-2013,808.63
16-06-2013,827.93
17-06-2013,866.62
18-06-2013,877.58
19-06-2013,860.48
20-06-2013,873.89
23-06-2013,917.24
24-06-2013,923.91
25-06-2013,973.26
26-06-2013,964.24
27-06-2013,1007.37
30-06-2013,996.89
01-07-2013,923.28
02-07-2013,914.94
03-07-2013,906.78
04-07-2013,984.46
07-07-2013,999.1
08-07-2013,1008.05
09-07-2013,1028.96
10-07-2013,1086.86
11-07-2013,1102.82
14-07-2013,1086.74
15-07-2013,1079.55
16-07-2013,1094.43
17-07-2013,1086.38
18-07-2013,1100.06
21-07-2013,1138.39
22-07-2013,1122.89
23-07-2013,1128.52
24-07-2013,1104.92
25-07-2013,1142.33
28-07-2013,1134.99
29-07-2013,1125.49
30-07-2013,1159.93
31-07-2013,1231.56
01-08-2013,1262.23
04-08-2013,1248.44
05-08-2013,1182.04
06-08-2013,1185.53
07-08-2013,1193.23
08-08-2013,1227.73
11-08-2013,1257.15
12-08-2013,1334.34
13-08-2013,1383.58
14-08-2013,1386.52
15-08-2013,1389.72
18-08-2013,1403.7
19-08-2013,1468.61
20-08-2013,1487.95
21-08-2013,1497.68
22-08-2013,1547.17
26-08-2013,1547.56
27-08-2013,1505.75
28-08-2013,1556.49
29-08-2013,1573.92
01-09-2013,1597.48
02-09-2013,1675.57
03-09-2013,1722.98
04-09-2013,1805.03
05-09-2013,1950.36
08-09-2013,2038.37
09-09-2013,2019.98
