date,quarter,commodity,export_volume_mt,export_value_aud_b,primary_vessel_class,provenance
2003-03-01,2003 Q1,Thermal Coal,26.095,1.121,Panamax / Supramax,live_disr_jun2026+cache
2003-06-01,2003 Q2,Bauxite,1.843,0.04,Capesize / Ultramax,live_disr_jun2026+cache
2003-06-01,2003 Q2,Iron Ore,46.067,1.268,Capesize (C5/C3),live_disr_jun2026+cache
2003-06-01,2003 Q2,LNG,1.924,0.613,LNG Carrier (174k),live_disr_jun2026+cache
2003-06-01,2003 Q2,Metallurgical Coal,28.411,1.771,Panamax / Capesize,live_disr_jun2026+cache
2003-06-01,2003 Q2,Thermal Coal,24.196,0.946,Panamax / Supramax,live_disr_jun2026+cache
2003-09-01,2003 Q3,Bauxite,1.734,0.036,Capesize / Ultramax,live_disr_jun2026+cache
2003-09-01,2003 Q3,Iron Ore,47.442,1.281,Capesize (C5/C3),live_disr_jun2026+cache
2003-09-01,2003 Q3,LNG,2.097,0.629,LNG Carrier (174k),live_disr_jun2026+cache
2003-09-01,2003 Q3,Metallurgical Coal,27.127,1.608,Panamax / Capesize,live_disr_jun2026+cache
2003-09-01,2003 Q3,Thermal Coal,26.061,0.995,Panamax / Supramax,live_disr_jun2026+cache
2003-12-01,2003 Q4,Bauxite,1.797,0.03,Capesize / Ultramax,live_disr_jun2026+cache
2003-12-01,2003 Q4,Iron Ore,50.16,1.289,Capesize (C5/C3),live_disr_jun2026+cache
2003-12-01,2003 Q4,LNG,1.931,0.533,LNG Carrier (174k),live_disr_jun2026+cache
2003-12-01,2003 Q4,Metallurgical Coal,28.276,1.528,Panamax / Capesize,live_disr_jun2026+cache
2003-12-01,2003 Q4,Thermal Coal,27.602,0.988,Panamax / Supramax,live_disr_jun2026+cache
2004-03-01,2004 Q1,Bauxite,1.679,0.027,Capesize / Ultramax,live_disr_jun2026+cache
2004-03-01,2004 Q1,Iron Ore,48.683,1.195,Capesize (C5/C3),live_disr_jun2026+cache
2004-03-01,2004 Q1,LNG,1.909,0.491,LNG Carrier (174k),live_disr_jun2026+cache
2004-03-01,2004 Q1,Metallurgical Coal,26.505,1.374,Panamax / Capesize,live_disr_jun2026+cache
2004-03-01,2004 Q1,Thermal Coal,26.849,1.03,Panamax / Supramax,live_disr_jun2026+cache
2004-06-01,2004 Q2,Bauxite,1.707,0.032,Capesize / Ultramax,live_disr_jun2026+cache
2004-06-01,2004 Q2,Iron Ore,48.489,1.512,Capesize (C5/C3),live_disr_jun2026+cache
2004-06-01,2004 Q2,LNG,1.976,0.521,LNG Carrier (174k),live_disr_jun2026+cache
2004-06-01,2004 Q2,Metallurgical Coal,29.824,1.999,Panamax / Capesize,live_disr_jun2026+cache
2004-06-01,2004 Q2,Thermal Coal,27.099,1.395,Panamax / Supramax,live_disr_jun2026+cache
2004-09-01,2004 Q3,Bauxite,1.218,0.034,Capesize / Ultramax,live_disr_jun2026+cache
2004-09-01,2004 Q3,Iron Ore,54.855,1.717,Capesize (C5/C3),live_disr_jun2026+cache
2004-09-01,2004 Q3,LNG,2.458,0.701,LNG Carrier (174k),live_disr_jun2026+cache
2004-09-01,2004 Q3,Metallurgical Coal,29.505,2.175,Panamax / Capesize,live_disr_jun2026+cache
2004-09-01,2004 Q3,Thermal Coal,27.226,1.56,Panamax / Supramax,live_disr_jun2026+cache
2004-12-01,2004 Q4,Bauxite,1.265,0.033,Capesize / Ultramax,live_disr_jun2026+cache
2004-12-01,2004 Q4,Iron Ore,57.801,1.746,Capesize (C5/C3),live_disr_jun2026+cache
2004-12-01,2004 Q4,LNG,2.831,0.869,LNG Carrier (174k),live_disr_jun2026+cache
2004-12-01,2004 Q4,Metallurgical Coal,30.895,2.296,Panamax / Capesize,live_disr_jun2026+cache
2004-12-01,2004 Q4,Thermal Coal,26.768,1.551,Panamax / Supramax,live_disr_jun2026+cache
2005-03-01,2005 Q1,Bauxite,1.252,0.025,Capesize / Ultramax,live_disr_jun2026+cache
2005-03-01,2005 Q1,Iron Ore,56.445,1.728,Capesize (C5/C3),live_disr_jun2026+cache
2005-03-01,2005 Q1,LNG,2.65,0.759,LNG Carrier (174k),live_disr_jun2026+cache
2005-03-01,2005 Q1,Metallurgical Coal,31.212,2.325,Panamax / Capesize,live_disr_jun2026+cache
2005-03-01,2005 Q1,Thermal Coal,26.647,1.579,Panamax / Supramax,live_disr_jun2026+cache
2005-06-01,2005 Q2,Bauxite,1.165,0.026,Capesize / Ultramax,live_disr_jun2026+cache
2005-06-01,2005 Q2,Iron Ore,59.355,2.929,Capesize (C5/C3),live_disr_jun2026+cache
2005-06-01,2005 Q2,LNG,2.65,0.869,LNG Carrier (174k),live_disr_jun2026+cache
2005-06-01,2005 Q2,Metallurgical Coal,33.303,3.963,Panamax / Capesize,live_disr_jun2026+cache
2005-06-01,2005 Q2,Thermal Coal,26.773,1.696,Panamax / Supramax,live_disr_jun2026+cache
2005-09-01,2005 Q3,Bauxite,1.401,0.021,Capesize / Ultramax,live_disr_jun2026+cache
2005-09-01,2005 Q3,Iron Ore,58.856,3.001,Capesize (C5/C3),live_disr_jun2026+cache
2005-09-01,2005 Q3,LNG,2.844,0.966,LNG Carrier (174k),live_disr_jun2026+cache
2005-09-01,2005 Q3,Metallurgical Coal,29.995,4.106,Panamax / Capesize,live_disr_jun2026+cache
2005-09-01,2005 Q3,Thermal Coal,28.941,1.921,Panamax / Supramax,live_disr_jun2026+cache
2005-12-01,2005 Q4,Bauxite,1.524,0.021,Capesize / Ultramax,live_disr_jun2026+cache
2005-12-01,2005 Q4,Iron Ore,64.657,3.413,Capesize (C5/C3),live_disr_jun2026+cache
2005-12-01,2005 Q4,LNG,2.868,1.099,LNG Carrier (174k),live_disr_jun2026+cache
2005-12-01,2005 Q4,Metallurgical Coal,30.424,4.472,Panamax / Capesize,live_disr_jun2026+cache
2005-12-01,2005 Q4,Thermal Coal,26.46,1.764,Panamax / Supramax,live_disr_jun2026+cache
2006-03-01,2006 Q1,Bauxite,1.253,0.024,Capesize / Ultramax,live_disr_jun2026+cache
2006-03-01,2006 Q1,Iron Ore,54.123,2.895,Capesize (C5/C3),live_disr_jun2026+cache
2006-03-01,2006 Q1,LNG,3.003,1.06,LNG Carrier (174k),live_disr_jun2026+cache
2006-03-01,2006 Q1,Metallurgical Coal,29.601,4.295,Panamax / Capesize,live_disr_jun2026+cache
2006-03-01,2006 Q1,Thermal Coal,27.095,1.736,Panamax / Supramax,live_disr_jun2026+cache
2006-06-01,2006 Q2,Bauxite,1.462,0.024,Capesize / Ultramax,live_disr_jun2026+cache
2006-06-01,2006 Q2,Iron Ore,61.744,3.546,Capesize (C5/C3),live_disr_jun2026+cache
2006-06-01,2006 Q2,LNG,3.314,1.29,LNG Carrier (174k),live_disr_jun2026+cache
2006-06-01,2006 Q2,Metallurgical Coal,30.458,4.131,Panamax / Capesize,live_disr_jun2026+cache
2006-06-01,2006 Q2,Thermal Coal,29.49,1.865,Panamax / Supramax,live_disr_jun2026+cache
2006-09-01,2006 Q3,Bauxite,1.363,0.022,Capesize / Ultramax,live_disr_jun2026+cache
2006-09-01,2006 Q3,Iron Ore,64.23,3.909,Capesize (C5/C3),live_disr_jun2026+cache
2006-09-01,2006 Q3,LNG,3.509,1.362,LNG Carrier (174k),live_disr_jun2026+cache
2006-09-01,2006 Q3,Metallurgical Coal,32.767,4.063,Panamax / Capesize,live_disr_jun2026+cache
2006-09-01,2006 Q3,Thermal Coal,27.687,1.727,Panamax / Supramax,live_disr_jun2026+cache
2006-12-01,2006 Q4,Bauxite,1.433,0.027,Capesize / Ultramax,live_disr_jun2026+cache
2006-12-01,2006 Q4,Iron Ore,67.331,4.016,Capesize (C5/C3),live_disr_jun2026+cache
2006-12-01,2006 Q4,LNG,3.794,1.396,LNG Carrier (174k),live_disr_jun2026+cache
2006-12-01,2006 Q4,Metallurgical Coal,31.565,3.739,Panamax / Capesize,live_disr_jun2026+cache
2006-12-01,2006 Q4,Thermal Coal,28.492,1.719,Panamax / Supramax,live_disr_jun2026+cache
2007-03-01,2007 Q1,Bauxite,1.329,0.031,Capesize / Ultramax,live_disr_jun2026+cache
2007-03-01,2007 Q1,Iron Ore,58.624,3.502,Capesize (C5/C3),live_disr_jun2026+cache
2007-03-01,2007 Q1,LNG,3.316,1.275,LNG Carrier (174k),live_disr_jun2026+cache
2007-03-01,2007 Q1,Metallurgical Coal,32.554,3.716,Panamax / Capesize,live_disr_jun2026+cache
2007-03-01,2007 Q1,Thermal Coal,28.584,1.715,Panamax / Supramax,live_disr_jun2026+cache
2007-06-01,2007 Q2,Bauxite,1.575,0.028,Capesize / Ultramax,live_disr_jun2026+cache
2007-06-01,2007 Q2,Iron Ore,67.179,4.085,Capesize (C5/C3),live_disr_jun2026+cache
2007-06-01,2007 Q2,LNG,3.714,1.188,LNG Carrier (174k),live_disr_jun2026+cache
2007-06-01,2007 Q2,Metallurgical Coal,35.079,3.521,Panamax / Capesize,live_disr_jun2026+cache
2007-06-01,2007 Q2,Thermal Coal,27.662,1.645,Panamax / Supramax,live_disr_jun2026+cache
2007-09-01,2007 Q3,Bauxite,2.191,0.059,Capesize / Ultramax,live_disr_jun2026+cache
2007-09-01,2007 Q3,Iron Ore,68.321,4.143,Capesize (C5/C3),live_disr_jun2026+cache
2007-09-01,2007 Q3,LNG,3.253,1.173,LNG Carrier (174k),live_disr_jun2026+cache
2007-09-01,2007 Q3,Metallurgical Coal,34.71,3.358,Panamax / Capesize,live_disr_jun2026+cache
2007-09-01,2007 Q3,Thermal Coal,27.789,1.707,Panamax / Supramax,live_disr_jun2026+cache
2007-12-01,2007 Q4,Bauxite,2.061,0.053,Capesize / Ultramax,live_disr_jun2026+cache
2007-12-01,2007 Q4,Iron Ore,72.759,4.528,Capesize (C5/C3),live_disr_jun2026+cache
2007-12-01,2007 Q4,LNG,3.61,1.443,LNG Carrier (174k),live_disr_jun2026+cache
2007-12-01,2007 Q4,Metallurgical Coal,35.857,3.297,Panamax / Capesize,live_disr_jun2026+cache
2007-12-01,2007 Q4,Thermal Coal,28.547,1.802,Panamax / Supramax,live_disr_jun2026+cache
2008-03-01,2008 Q1,Bauxite,2.005,0.057,Capesize / Ultramax,live_disr_jun2026+cache
2008-03-01,2008 Q1,Iron Ore,73.749,4.967,Capesize (C5/C3),live_disr_jun2026+cache
2008-03-01,2008 Q1,LNG,3.498,1.541,LNG Carrier (174k),live_disr_jun2026+cache
2008-03-01,2008 Q1,Metallurgical Coal,29.607,2.897,Panamax / Capesize,live_disr_jun2026+cache
2008-03-01,2008 Q1,Thermal Coal,29.424,2.115,Panamax / Supramax,live_disr_jun2026+cache
2008-06-01,2008 Q2,Bauxite,1.66,0.037,Capesize / Ultramax,live_disr_jun2026+cache
2008-06-01,2008 Q2,Iron Ore,79.464,6.873,Capesize (C5/C3),live_disr_jun2026+cache
2008-06-01,2008 Q2,LNG,3.318,1.698,LNG Carrier (174k),live_disr_jun2026+cache
2008-06-01,2008 Q2,Metallurgical Coal,36.748,6.486,Panamax / Capesize,live_disr_jun2026+cache
2008-06-01,2008 Q2,Thermal Coal,29.507,2.754,Panamax / Supramax,live_disr_jun2026+cache
2008-09-01,2008 Q3,Bauxite,2.822,0.074,Capesize / Ultramax,live_disr_jun2026+cache
2008-09-01,2008 Q3,Iron Ore,86.925,9.588,Capesize (C5/C3),live_disr_jun2026+cache
2008-09-01,2008 Q3,LNG,3.266,2.19,LNG Carrier (174k),live_disr_jun2026+cache
2008-09-01,2008 Q3,Metallurgical Coal,36.307,10.365,Panamax / Capesize,live_disr_jun2026+cache
2008-09-01,2008 Q3,Thermal Coal,32.455,3.775,Panamax / Supramax,live_disr_jun2026+cache
2008-12-01,2008 Q4,Bauxite,2.174,0.058,Capesize / Ultramax,live_disr_jun2026+cache
2008-12-01,2008 Q4,Iron Ore,69.336,8.714,Capesize (C5/C3),live_disr_jun2026+cache
2008-12-01,2008 Q4,LNG,3.951,3.815,LNG Carrier (174k),live_disr_jun2026+cache
2008-12-01,2008 Q4,Metallurgical Coal,32.144,12.518,Panamax / Capesize,live_disr_jun2026+cache
2008-12-01,2008 Q4,Thermal Coal,35.015,5.709,Panamax / Supramax,live_disr_jun2026+cache
2009-03-01,2009 Q1,Bauxite,1.157,0.033,Capesize / Ultramax,live_disr_jun2026+cache
2009-03-01,2009 Q1,Iron Ore,78.319,8.884,Capesize (C5/C3),live_disr_jun2026+cache
2009-03-01,2009 Q1,LNG,4.152,2.483,LNG Carrier (174k),live_disr_jun2026+cache
2009-03-01,2009 Q1,Metallurgical Coal,23.743,7.69,Panamax / Capesize,live_disr_jun2026+cache
2009-03-01,2009 Q1,Thermal Coal,34.309,4.971,Panamax / Supramax,live_disr_jun2026+cache
2009-06-01,2009 Q2,Bauxite,1.317,0.027,Capesize / Ultramax,live_disr_jun2026+cache
2009-06-01,2009 Q2,Iron Ore,88.945,7.052,Capesize (C5/C3),live_disr_jun2026+cache
2009-06-01,2009 Q2,LNG,4.04,1.591,LNG Carrier (174k),live_disr_jun2026+cache
2009-06-01,2009 Q2,Metallurgical Coal,33.044,6.24,Panamax / Capesize,live_disr_jun2026+cache
2009-06-01,2009 Q2,Thermal Coal,34.725,3.444,Panamax / Supramax,live_disr_jun2026+cache
2009-09-01,2009 Q3,Bauxite,1.616,0.03,Capesize / Ultramax,live_disr_jun2026+cache
2009-09-01,2009 Q3,Iron Ore,97.594,7.181,Capesize (C5/C3),live_disr_jun2026+cache
2009-09-01,2009 Q3,LNG,4.662,1.713,LNG Carrier (174k),live_disr_jun2026+cache
2009-09-01,2009 Q3,Metallurgical Coal,38.795,5.712,Panamax / Capesize,live_disr_jun2026+cache
2009-09-01,2009 Q3,Thermal Coal,34.679,3.143,Panamax / Supramax,live_disr_jun2026+cache
2009-12-01,2009 Q4,Bauxite,2.284,0.045,Capesize / Ultramax,live_disr_jun2026+cache
2009-12-01,2009 Q4,Iron Ore,98.063,6.931,Capesize (C5/C3),live_disr_jun2026+cache
2009-12-01,2009 Q4,LNG,4.448,1.84,LNG Carrier (174k),live_disr_jun2026+cache
2009-12-01,2009 Q4,Metallurgical Coal,39.45,5.344,Panamax / Capesize,live_disr_jun2026+cache
2009-12-01,2009 Q4,Thermal Coal,35.798,2.895,Panamax / Supramax,live_disr_jun2026+cache
2010-03-01,2010 Q1,Bauxite,1.908,0.044,Capesize / Ultramax,live_disr_jun2026+cache
2010-03-01,2010 Q1,Iron Ore,94.565,7.807,Capesize (C5/C3),live_disr_jun2026+cache
2010-03-01,2010 Q1,LNG,4.66,2.219,LNG Carrier (174k),live_disr_jun2026+cache
2010-03-01,2010 Q1,Metallurgical Coal,35.428,4.988,Panamax / Capesize,live_disr_jun2026+cache
2010-03-01,2010 Q1,Thermal Coal,30.938,2.616,Panamax / Supramax,live_disr_jun2026+cache
2010-06-01,2010 Q2,Bauxite,2.215,0.06,Capesize / Ultramax,live_disr_jun2026+cache
2010-06-01,2010 Q2,Iron Ore,99.65,13.156,Capesize (C5/C3),live_disr_jun2026+cache
2010-06-01,2010 Q2,LNG,4.096,2.016,LNG Carrier (174k),live_disr_jun2026+cache
2010-06-01,2010 Q2,Metallurgical Coal,43.591,8.482,Panamax / Capesize,live_disr_jun2026+cache
2010-06-01,2010 Q2,Thermal Coal,33.936,3.267,Panamax / Supramax,live_disr_jun2026+cache
2010-09-01,2010 Q3,Bauxite,2.055,0.057,Capesize / Ultramax,live_disr_jun2026+cache
2010-09-01,2010 Q3,Iron Ore,99.026,14.386,Capesize (C5/C3),live_disr_jun2026+cache
2010-09-01,2010 Q3,LNG,4.947,2.861,LNG Carrier (174k),live_disr_jun2026+cache
2010-09-01,2010 Q3,Metallurgical Coal,39.955,8.579,Panamax / Capesize,live_disr_jun2026+cache
2010-09-01,2010 Q3,Thermal Coal,39.256,3.881,Panamax / Supramax,live_disr_jun2026+cache
2010-12-01,2010 Q4,Bauxite,1.772,0.044,Capesize / Ultramax,live_disr_jun2026+cache
2010-12-01,2010 Q4,Iron Ore,108.618,14.021,Capesize (C5/C3),live_disr_jun2026+cache
2010-12-01,2010 Q4,LNG,5.18,2.48,LNG Carrier (174k),live_disr_jun2026+cache
2010-12-01,2010 Q4,Metallurgical Coal,39.984,7.649,Panamax / Capesize,live_disr_jun2026+cache
2010-12-01,2010 Q4,Thermal Coal,37.93,3.504,Panamax / Supramax,live_disr_jun2026+cache
2011-03-01,2011 Q1,Bauxite,2.105,0.059,Capesize / Ultramax,live_disr_jun2026+cache
2011-03-01,2011 Q1,Iron Ore,93.737,13.707,Capesize (C5/C3),live_disr_jun2026+cache
2011-03-01,2011 Q1,LNG,4.85,2.463,LNG Carrier (174k),live_disr_jun2026+cache
2011-03-01,2011 Q1,Metallurgical Coal,27.475,5.417,Panamax / Capesize,live_disr_jun2026+cache
2011-03-01,2011 Q1,Thermal Coal,30.282,3.01,Panamax / Supramax,live_disr_jun2026+cache
2011-06-01,2011 Q2,Bauxite,2.663,0.07,Capesize / Ultramax,live_disr_jun2026+cache
2011-06-01,2011 Q2,Iron Ore,105.499,16.272,Capesize (C5/C3),live_disr_jun2026+cache
2011-06-01,2011 Q2,LNG,4.98,2.633,LNG Carrier (174k),live_disr_jun2026+cache
2011-06-01,2011 Q2,Metallurgical Coal,33.042,8.147,Panamax / Capesize,live_disr_jun2026+cache
2011-06-01,2011 Q2,Thermal Coal,36.588,3.665,Panamax / Supramax,live_disr_jun2026+cache
2011-09-01,2011 Q3,Bauxite,2.724,0.074,Capesize / Ultramax,live_disr_jun2026+cache
2011-09-01,2011 Q3,Iron Ore,117.314,17.992,Capesize (C5/C3),live_disr_jun2026+cache
2011-09-01,2011 Q3,LNG,4.81,2.951,LNG Carrier (174k),live_disr_jun2026+cache
2011-09-01,2011 Q3,Metallurgical Coal,35.333,8.836,Panamax / Capesize,live_disr_jun2026+cache
2011-09-01,2011 Q3,Thermal Coal,39.818,4.279,Panamax / Supramax,live_disr_jun2026+cache
2011-12-01,2011 Q4,Bauxite,2.803,0.083,Capesize / Ultramax,live_disr_jun2026+cache
2011-12-01,2011 Q4,Iron Ore,121.273,16.126,Capesize (C5/C3),live_disr_jun2026+cache
2011-12-01,2011 Q4,LNG,4.681,3.036,LNG Carrier (174k),live_disr_jun2026+cache
2011-12-01,2011 Q4,Metallurgical Coal,36.858,8.636,Panamax / Capesize,live_disr_jun2026+cache
2011-12-01,2011 Q4,Thermal Coal,41.394,4.701,Panamax / Supramax,live_disr_jun2026+cache
2012-03-01,2012 Q1,Bauxite,2.313,0.063,Capesize / Ultramax,live_disr_jun2026+cache
2012-03-01,2012 Q1,Iron Ore,108.433,13.045,Capesize (C5/C3),live_disr_jun2026+cache
2012-03-01,2012 Q1,LNG,4.587,2.818,LNG Carrier (174k),live_disr_jun2026+cache
2012-03-01,2012 Q1,Metallurgical Coal,34.349,6.609,Panamax / Capesize,live_disr_jun2026+cache
2012-03-01,2012 Q1,Thermal Coal,37.109,4.011,Panamax / Supramax,live_disr_jun2026+cache
2012-06-01,2012 Q2,Bauxite,2.678,0.076,Capesize / Ultramax,live_disr_jun2026+cache
2012-06-01,2012 Q2,Iron Ore,123.022,15.532,Capesize (C5/C3),live_disr_jun2026+cache
2012-06-01,2012 Q2,LNG,4.788,3.144,LNG Carrier (174k),live_disr_jun2026+cache
2012-06-01,2012 Q2,Metallurgical Coal,35.857,6.619,Panamax / Capesize,live_disr_jun2026+cache
2012-06-01,2012 Q2,Thermal Coal,40.831,4.221,Panamax / Supramax,live_disr_jun2026+cache
2012-09-01,2012 Q3,Bauxite,2.769,0.079,Capesize / Ultramax,live_disr_jun2026+cache
2012-09-01,2012 Q3,Iron Ore,125.286,12.903,Capesize (C5/C3),live_disr_jun2026+cache
2012-09-01,2012 Q3,LNG,6.243,4.061,LNG Carrier (174k),live_disr_jun2026+cache
2012-09-01,2012 Q3,Metallurgical Coal,34.381,5.842,Panamax / Capesize,live_disr_jun2026+cache
2012-09-01,2012 Q3,Thermal Coal,44.918,4.247,Panamax / Supramax,live_disr_jun2026+cache
2012-12-01,2012 Q4,Bauxite,2.594,0.073,Capesize / Ultramax,live_disr_jun2026+cache
2012-12-01,2012 Q4,Iron Ore,134.87,12.968,Capesize (C5/C3),live_disr_jun2026+cache
2012-12-01,2012 Q4,LNG,6.148,3.393,LNG Carrier (174k),live_disr_jun2026+cache
2012-12-01,2012 Q4,Metallurgical Coal,39.99,5.402,Panamax / Capesize,live_disr_jun2026+cache
2012-12-01,2012 Q4,Thermal Coal,48.594,4.322,Panamax / Supramax,live_disr_jun2026+cache
2013-03-01,2013 Q1,Bauxite,2.96,0.087,Capesize / Ultramax,live_disr_jun2026+cache
2013-03-01,2013 Q1,Iron Ore,124.919,14.694,Capesize (C5/C3),live_disr_jun2026+cache
2013-03-01,2013 Q1,LNG,5.635,3.357,LNG Carrier (174k),live_disr_jun2026+cache
2013-03-01,2013 Q1,Metallurgical Coal,37.565,5.191,Panamax / Capesize,live_disr_jun2026+cache
2013-03-01,2013 Q1,Thermal Coal,41.711,3.582,Panamax / Supramax,live_disr_jun2026+cache
2013-06-01,2013 Q2,Bauxite,4.244,0.143,Capesize / Ultramax,live_disr_jun2026+cache
2013-06-01,2013 Q2,Iron Ore,141.944,16.51,Capesize (C5/C3),live_disr_jun2026+cache
2013-06-01,2013 Q2,LNG,5.477,3.459,LNG Carrier (174k),live_disr_jun2026+cache
2013-06-01,2013 Q2,Metallurgical Coal,42.257,5.999,Panamax / Capesize,live_disr_jun2026+cache
2013-06-01,2013 Q2,Thermal Coal,46.78,4.054,Panamax / Supramax,live_disr_jun2026+cache
2013-09-01,2013 Q3,Bauxite,4.368,0.156,Capesize / Ultramax,live_disr_jun2026+cache
2013-09-01,2013 Q3,Iron Ore,151.355,18.498,Capesize (C5/C3),live_disr_jun2026+cache
2013-09-01,2013 Q3,LNG,5.766,3.989,LNG Carrier (174k),live_disr_jun2026+cache
2013-09-01,2013 Q3,Metallurgical Coal,42.838,5.789,Panamax / Capesize,live_disr_jun2026+cache
2013-09-01,2013 Q3,Thermal Coal,48.832,4.383,Panamax / Supramax,live_disr_jun2026+cache
2013-12-01,2013 Q4,Bauxite,4.096,0.155,Capesize / Ultramax,live_disr_jun2026+cache
2013-12-01,2013 Q4,Iron Ore,160.804,19.79,Capesize (C5/C3),live_disr_jun2026+cache
2013-12-01,2013 Q4,LNG,5.897,3.796,LNG Carrier (174k),live_disr_jun2026+cache
2013-12-01,2013 Q4,Metallurgical Coal,47.35,6.41,Panamax / Capesize,live_disr_jun2026+cache
2013-12-01,2013 Q4,Thermal Coal,51.086,4.397,Panamax / Supramax,live_disr_jun2026+cache
2014-03-01,2014 Q1,Bauxite,2.669,0.092,Capesize / Ultramax,live_disr_jun2026+cache
2014-03-01,2014 Q1,Iron Ore,158.466,19.03,Capesize (C5/C3),live_disr_jun2026+cache
2014-03-01,2014 Q1,LNG,5.823,4.293,LNG Carrier (174k),live_disr_jun2026+cache
2014-03-01,2014 Q1,Metallurgical Coal,42.904,5.701,Panamax / Capesize,live_disr_jun2026+cache
2014-03-01,2014 Q1,Thermal Coal,46.961,4.141,Panamax / Supramax,live_disr_jun2026+cache
2014-06-01,2014 Q2,Bauxite,4.013,0.144,Capesize / Ultramax,live_disr_jun2026+cache
2014-06-01,2014 Q2,Iron Ore,180.804,17.353,Capesize (C5/C3),live_disr_jun2026+cache
2014-06-01,2014 Q2,LNG,5.76,4.227,LNG Carrier (174k),live_disr_jun2026+cache
2014-06-01,2014 Q2,Metallurgical Coal,47.366,5.354,Panamax / Capesize,live_disr_jun2026+cache
2014-06-01,2014 Q2,Thermal Coal,47.708,3.785,Panamax / Supramax,live_disr_jun2026+cache
2014-09-01,2014 Q3,Bauxite,4.945,0.191,Capesize / Ultramax,live_disr_jun2026+cache
2014-09-01,2014 Q3,Iron Ore,187.656,15.516,Capesize (C5/C3),live_disr_jun2026+cache
2014-09-01,2014 Q3,LNG,6.34,4.524,LNG Carrier (174k),live_disr_jun2026+cache
2014-09-01,2014 Q3,Metallurgical Coal,46.767,5.041,Panamax / Capesize,live_disr_jun2026+cache
2014-09-01,2014 Q3,Thermal Coal,53.089,4.05,Panamax / Supramax,live_disr_jun2026+cache
2014-12-01,2014 Q4,Bauxite,5.236,0.24,Capesize / Ultramax,live_disr_jun2026+cache
2014-12-01,2014 Q4,Iron Ore,190.037,14.11,Capesize (C5/C3),live_disr_jun2026+cache
2014-12-01,2014 Q4,LNG,5.941,4.699,LNG Carrier (174k),live_disr_jun2026+cache
2014-12-01,2014 Q4,Metallurgical Coal,49.328,5.755,Panamax / Capesize,live_disr_jun2026+cache
2014-12-01,2014 Q4,Thermal Coal,53.287,4.172,Panamax / Supramax,live_disr_jun2026+cache
2015-03-01,2015 Q1,Bauxite,4.785,0.239,Capesize / Ultramax,live_disr_jun2026+cache
2015-03-01,2015 Q1,Iron Ore,180.047,12.751,Capesize (C5/C3),live_disr_jun2026+cache
2015-03-01,2015 Q1,LNG,6.554,4.555,LNG Carrier (174k),live_disr_jun2026+cache
2015-03-01,2015 Q1,Metallurgical Coal,45.125,5.734,Panamax / Capesize,live_disr_jun2026+cache
2015-03-01,2015 Q1,Thermal Coal,49.867,4.096,Panamax / Supramax,live_disr_jun2026+cache
2015-06-01,2015 Q2,Bauxite,5.238,0.265,Capesize / Ultramax,live_disr_jun2026+cache
2015-06-01,2015 Q2,Iron Ore,189.984,12.142,Capesize (C5/C3),live_disr_jun2026+cache
2015-06-01,2015 Q2,LNG,6.212,3.117,LNG Carrier (174k),live_disr_jun2026+cache
2015-06-01,2015 Q2,Metallurgical Coal,46.445,5.284,Panamax / Capesize,live_disr_jun2026+cache
2015-06-01,2015 Q2,Thermal Coal,48.442,3.751,Panamax / Supramax,live_disr_jun2026+cache
2015-09-01,2015 Q3,Bauxite,5.308,0.274,Capesize / Ultramax,live_disr_jun2026+cache
2015-09-01,2015 Q3,Iron Ore,198.683,12.85,Capesize (C5/C3),live_disr_jun2026+cache
2015-09-01,2015 Q3,LNG,8.121,4.241,LNG Carrier (174k),live_disr_jun2026+cache
2015-09-01,2015 Q3,Metallurgical Coal,47.613,5.325,Panamax / Capesize,live_disr_jun2026+cache
2015-09-01,2015 Q3,Thermal Coal,52.183,4.143,Panamax / Supramax,live_disr_jun2026+cache
2015-12-01,2015 Q4,Bauxite,4.95,0.258,Capesize / Ultramax,live_disr_jun2026+cache
2015-12-01,2015 Q4,Iron Ore,198.079,11.357,Capesize (C5/C3),live_disr_jun2026+cache
2015-12-01,2015 Q4,LNG,9.014,4.534,LNG Carrier (174k),live_disr_jun2026+cache
2015-12-01,2015 Q4,Metallurgical Coal,46.919,4.821,Panamax / Capesize,live_disr_jun2026+cache
2015-12-01,2015 Q4,Thermal Coal,51.755,3.881,Panamax / Supramax,live_disr_jun2026+cache
2016-03-01,2016 Q1,Bauxite,5.244,0.224,Capesize / Ultramax,live_disr_jun2026+cache
2016-03-01,2016 Q1,Iron Ore,187.937,10.733,Capesize (C5/C3),live_disr_jun2026+cache
2016-03-01,2016 Q1,LNG,9.932,4.362,LNG Carrier (174k),live_disr_jun2026+cache
2016-03-01,2016 Q1,Metallurgical Coal,44.105,4.421,Panamax / Capesize,live_disr_jun2026+cache
2016-03-01,2016 Q1,Thermal Coal,48.818,3.421,Panamax / Supramax,live_disr_jun2026+cache
2016-06-01,2016 Q2,Bauxite,5.469,0.235,Capesize / Ultramax,live_disr_jun2026+cache
2016-06-01,2016 Q2,Iron Ore,201.144,12.859,Capesize (C5/C3),live_disr_jun2026+cache
2016-06-01,2016 Q2,LNG,9.784,3.439,LNG Carrier (174k),live_disr_jun2026+cache
2016-06-01,2016 Q2,Metallurgical Coal,49.362,5.223,Panamax / Capesize,live_disr_jun2026+cache
